FID,Id,dem,dist
617,0,1.580000043,308.5
618,0,1.580000043,309
619,0,1.600000024,309.5
620,0,1.600000024,310
621,0,1.600000024,310.5
622,0,1.600000024,311
623,0,1.5,311.5
624,0,1.5,312
625,0,1.5,312.5
626,0,1.5,313
627,0,1.5,313.5
628,0,1.080000043,314
629,0,1.080000043,314.5
630,0,1.080000043,315
631,0,1.080000043,315.5
632,0,0.970000029,316
633,0,0.970000029,316.5
634,0,0.970000029,317
635,0,0.970000029,317.5
636,0,0.939999998,318
637,0,0.939999998,318.5
638,0,1,319
639,0,1,319.5
640,0,0.930000007,320
641,0,0.930000007,320.5
642,0,0.930000007,321
643,0,0.930000007,321.5
644,0,0.889999986,322
645,0,0.889999986,322.5
646,0,0.889999986,323
647,0,0.889999986,323.5
648,0,0.889999986,324
649,0,0.889999986,324.5
650,0,0.889999986,325
651,0,0.889999986,325.5
652,0,0.939999998,326
653,0,0.939999998,326.5
654,0,0.939999998,327
655,0,0.939999998,327.5
656,0,1.029999971,328
657,0,1.029999971,328.5
658,0,1.029999971,329
659,0,1.029999971,329.5
660,0,1.230000019,330
661,0,1.230000019,330.5
662,0,1.230000019,331
663,0,1.230000019,331.5
664,0,1.710000038,332
665,0,1.710000038,332.5
666,0,1.710000038,333
667,0,1.710000038,333.5
668,0,2.200000048,334
669,0,2.200000048,334.5
670,0,2.200000048,335
671,0,2.200000048,335.5
672,0,2.200000048,336
673,0,2.640000105,336.5
674,0,2.640000105,337
675,0,2.640000105,337.5
676,0,2.640000105,338
677,0,2.779999971,338.5
678,0,2.779999971,339
679,0,2.779999971,339.5
680,0,2.779999971,340
681,0,2.890000105,340.5
682,0,2.890000105,341
683,0,2.890000105,341.5
684,0,2.890000105,342
685,0,2.859999895,342.5
686,0,2.859999895,343
687,0,2.859999895,343.5
688,0,2.859999895,344
689,0,2.950000048,344.5
690,0,2.950000048,345
691,0,2.950000048,345.5
692,0,2.950000048,346
693,0,3.109999895,346.5
694,0,3.109999895,347
695,0,3.109999895,347.5
696,0,3.109999895,348
697,0,3.200000048,348.5
698,0,3.200000048,349
699,0,3.200000048,349.5
700,0,3.200000048,350
701,0,3.180000067,350.5
702,0,3.180000067,351
703,0,3.180000067,351.5
704,0,3.180000067,352
705,0,3.269999981,352.5
706,0,3.269999981,353
707,0,3.269999981,353.5
708,0,3.269999981,354
709,0,3.359999895,354.5
710,0,3.359999895,355
711,0,3.359999895,355.5
712,0,3.359999895,356
713,0,3.359999895,356.5
714,0,3.269999981,357
715,0,3.269999981,357.5
716,0,3.269999981,358
717,0,3.269999981,358.5
718,0,3.119999886,359
719,0,3.119999886,359.5
720,0,3.119999886,360
721,0,3.119999886,360.5
722,0,3.160000086,361
723,0,3.160000086,361.5
724,0,3.160000086,362
725,0,3.160000086,362.5
726,0,3.200000048,363
727,0,3.200000048,363.5
728,0,3.200000048,364
729,0,3.200000048,364.5
730,0,3.230000019,365
731,0,2.980000019,365.5
732,0,2.980000019,366
733,0,2.980000019,366.5
734,0,2.960000038,367
735,0,2.960000038,367.5
736,0,2.960000038,368
737,0,2.960000038,368.5
738,0,2.930000067,369
739,0,2.930000067,369.5
740,0,2.930000067,370
741,0,2.930000067,370.5
742,0,3,371
743,0,3,371.5
744,0,3,372
745,0,3,372.5
746,0,3.170000076,373
747,0,3.170000076,373.5
748,0,3.170000076,374
749,0,3.079999924,374.5
750,0,3.480000019,375
751,0,3.480000019,375.5
752,0,3.480000019,376
753,0,3.480000019,376.5
754,0,3.829999924,377
755,0,3.829999924,377.5
756,0,3.829999924,378
757,0,3.829999924,378.5
758,0,3.829999924,379
759,0,4.059999943,379.5
760,0,4.059999943,380
761,0,4.059999943,380.5
762,0,4.059999943,381
763,0,4.239999771,381.5
764,0,4.239999771,382
765,0,4.239999771,382.5
766,0,4.239999771,383
767,0,4.050000191,383.5
768,0,4.079999924,384
769,0,4.079999924,384.5
770,0,4.079999924,385
771,0,3.900000095,385.5
772,0,3.900000095,386
773,0,3.900000095,386.5
774,0,3.900000095,387
775,0,3.75,387.5
776,0,3.75,388
777,0,3.75,388.5
778,0,3.75,389
779,0,3.690000057,389.5
780,0,3.690000057,390
781,0,3.690000057,390.5
782,0,3.690000057,391
783,0,3.609999895,391.5
784,0,3.609999895,392
785,0,3.609999895,392.5
786,0,3.619999886,393
787,0,3.599999905,393.5
788,0,3.599999905,394
789,0,3.599999905,394.5
790,0,3.599999905,395
791,0,3.569999933,395.5
792,0,3.569999933,396
793,0,3.569999933,396.5
794,0,3.569999933,397
795,0,3.559999943,397.5
796,0,3.559999943,398
797,0,3.559999943,398.5
798,0,3.559999943,399
799,0,3.559999943,399.5
800,0,3.599999905,400
801,0,3.599999905,400.5
802,0,3.599999905,401
803,0,3.599999905,401.5
804,0,3.599999905,402
805,0,3.589999914,402.5
806,0,3.589999914,403
807,0,3.589999914,403.5
808,0,3.650000095,404
809,0,3.650000095,404.5
810,0,3.650000095,405
811,0,3.650000095,405.5
812,0,3.720000029,406
813,0,3.720000029,406.5
814,0,3.720000029,407
815,0,3.720000029,407.5
816,0,3.710000038,408
817,0,3.710000038,408.5
818,0,3.710000038,409
819,0,3.710000038,409.5
820,0,3.710000038,410
821,0,3.710000038,410.5
822,0,3.710000038,411
823,0,3.710000038,411.5
824,0,3.75,412
825,0,3.75,412.5
826,0,3.75,413
827,0,3.75,413.5
828,0,3.819999933,414
829,0,3.819999933,414.5
830,0,3.819999933,415
831,0,3.819999933,415.5
832,0,3.829999924,416
833,0,3.829999924,416.5
834,0,3.829999924,417
835,0,3.829999924,417.5
836,0,3.859999895,418
837,0,3.859999895,418.5
838,0,3.859999895,419
839,0,3.859999895,419.5
840,0,3.859999895,420
841,0,3.859999895,420.5
842,0,3.900000095,421
843,0,3.900000095,421.5
844,0,3.900000095,422
845,0,3.859999895,422.5
846,0,3.859999895,423
847,0,3.859999895,423.5
848,0,3.859999895,424
849,0,3.900000095,424.5
850,0,3.900000095,425
851,0,3.900000095,425.5
852,0,3.900000095,426
853,0,3.920000076,426.5
854,0,3.920000076,427
855,0,3.920000076,427.5
856,0,3.920000076,428
857,0,3.930000067,428.5
858,0,3.930000067,429
859,0,3.930000067,429.5
860,0,3.930000067,430
861,0,3.960000038,430.5
862,0,3.960000038,431
863,0,3.960000038,431.5
864,0,3.960000038,432
865,0,4,432.5
866,0,4,433
867,0,4,433.5
868,0,4,434
869,0,4.050000191,434.5
870,0,4.050000191,435
871,0,4.050000191,435.5
872,0,4.050000191,436
873,0,4.119999886,436.5
874,0,4.119999886,437
875,0,4.119999886,437.5
876,0,4.119999886,438
877,0,4.150000095,438.5
878,0,4.150000095,439
879,0,4.159999847,439.5
880,0,4.159999847,440
881,0,4.179999828,440.5
882,0,4.179999828,441
883,0,4.179999828,441.5
884,0,4.179999828,442
885,0,4.179999828,442.5
886,0,4.21999979,443
887,0,4.21999979,443.5
888,0,4.21999979,444
889,0,4.21999979,444.5
890,0,4.329999924,445
891,0,4.329999924,445.5
892,0,4.329999924,446
893,0,4.329999924,446.5
894,0,4.329999924,447
895,0,4.329999924,447.5
896,0,4.329999924,448
897,0,4.329999924,448.5
898,0,4.320000172,449
899,0,4.320000172,449.5
900,0,4.320000172,450
901,0,4.320000172,450.5
902,0,4.340000153,451
903,0,4.340000153,451.5
904,0,4.340000153,452
905,0,4.340000153,452.5
906,0,4.380000114,453
